zip,zip_to,price,shipping_method
"0000000","0099999","1300","北海道"
"0400000","0999999","1300","北海道"
"0300000","0399999","870","青森県"
"0200000","0299999","870","岩手県"
"9800000","9899999","870","宮城県"
"0100000","0199999","870","秋田県"
"9900000","9999999","870","山形県"
"9600000","9799999","870","福島県"
"3000000","3199999","870","茨城県"
"3200000","3299999","870","栃木県"
"3700000","3799999","870","群馬県"
"3300000","3699999","870","埼玉県"
"2600000","2999999","870","千葉県"
"1000000","2099999","810","東京都"
"2100000","2599999","870","神奈川県"
"9400000","9599999","870","新潟県"
"9300000","9399999","870","富山県"
"9200000","9299999","870","石川県"
"9100000","9199999","870","福井県"
"4000000","4099999","870","山梨県"
"3800000","3999999","870","長野県"
"5000000","5099999","870","岐阜県"
"4100000","4399999","870","静岡県"
"4400000","4999999","870","愛知県"
"5100000","5199999","970","三重県"
"5200000","5299999","970","滋賀県"
"6000000","6299999","970","京都府"
"5300000","5999999","970","大阪府"
"6500000","6799999","970","兵庫県"
"6300000","6399999","970","奈良県"
"6400000","6499999","970","和歌山県"
"6800000","6899999","1100","鳥取県"
"6900000","6999999","1100","島根県"
"7000000","7199999","1100","岡山県"
"7200000","7399999","1100","広島県"
"7400000","7599999","1100","山口県"
"7700000","7799999","1100","徳島県"
"7600000","7699999","1100","香川県"
"7900000","7999999","1100","愛媛県"
"7800000","7899999","1100","高知県"
"8000000","8399999","1300","福岡県"
"8400000","8499999","1300","佐賀県"
"8500000","8599999","1300","長崎県"
"8600000","8699999","1300","熊本県"
"8700000","8799999","1300","大分県"
"8800000","8899999","1300","宮崎県"
"8900000","8999999","1300","鹿児島県"
"9000000","9099999","1350","沖縄県"
